Date          	Time          	Speed         	Zone #        	Subject ID    	Duration(sec) 	End Speed     	Message
11-24-2024    	14:16:34	4.0 to 40 RPM 	4	C1W           	144	21.28 RPM     	
11-24-2024    	14:16:36	4.0 to 40 RPM 	2	C1B           	146	21.52 RPM     	
11-24-2024    	14:17:33	4.0 to 40 RPM 	1	C1R           	203	28.36 RPM     	
11-24-2024    	14:17:36	4.0 to 40 RPM 	3	C1G           	205	28.60 RPM     	
11-24-2024    	14:26:20	4.0 to 40 RPM 	4	C1W           	141	20.92 RPM     	
11-24-2024    	14:27:24	4.0 to 40 RPM 	3	C1G           	205	28.60 RPM     	
11-24-2024    	14:27:37	4.0 to 40 RPM 	1	C1R           	218	30.16 RPM     	
11-24-2024    	14:27:39	4.0 to 40 RPM 	2	C1B           	219	30.28 RPM     	
11-24-2024    	14:36:13	4.0 to 40 RPM 	3	C1G           	142	21.04 RPM     	
11-24-2024    	14:37:18	4.0 to 40 RPM 	4	C1W           	207	28.84 RPM     	
11-24-2024    	14:37:30	4.0 to 40 RPM 	1	C1R           	218	30.16 RPM     	
11-24-2024    	14:37:30	4.0 to 40 RPM 	2	C1B           	218	30.16 RPM     	
11-24-2024    	14:46:06	4.0 to 40 RPM 	3	C1G           	150	22.00 RPM     	
11-24-2024    	14:46:16	4.0 to 40 RPM 	4	C1W           	160	23.20 RPM     	
11-24-2024    	14:46:49	4.0 to 40 RPM 	1	C1R           	193	27.16 RPM     	
11-24-2024    	14:47:04	4.0 to 40 RPM 	2	C1B           	207	28.84 RPM     	
11-24-2024    	14:57:01	4.0 to 40 RPM 	2	C1B           	214	29.68 RPM     	
11-24-2024    	14:57:02	4.0 to 40 RPM 	1	C1R           	215	29.80 RPM     	
11-24-2024    	14:57:05	4.0 to 40 RPM 	3	C1G           	218	30.16 RPM     	
11-24-2024    	14:57:35	4.0 to 40 RPM 	4	C1W           	247	33.64 RPM     	
11-24-2024    	17:08:18	4.0 to 40 RPM 	4	C2W           	176	25.12 RPM     	
11-24-2024    	17:08:21	4.0 to 40 RPM 	2	C2B           	179	25.48 RPM     	
11-24-2024    	17:09:08	4.0 to 40 RPM 	1	C2R           	226	31.12 RPM     	
11-24-2024    	17:09:37	4.0 to 40 RPM 	3	C2G           	254	34.48 RPM     	
11-24-2024    	17:19:57	4.0 to 40 RPM 	4	C2W           	171	24.52 RPM     	
11-24-2024    	17:20:22	4.0 to 40 RPM 	2	C2B           	196	27.52 RPM     	
11-24-2024    	17:21:29	4.0 to 40 RPM 	1	C2R           	263	35.56 RPM     	
11-24-2024    	17:21:30	4.0 to 40 RPM 	3	C2G           	264	35.68 RPM     	
11-24-2024    	17:31:05	4.0 to 40 RPM 	4	C2W           	181	25.72 RPM     	
11-24-2024    	17:31:13	4.0 to 40 RPM 	3	C2G           	189	26.68 RPM     	
11-24-2024    	17:32:46	4.0 to 40 RPM 	2	C2B           	282	37.84 RPM     	
11-24-2024    	17:32:46	4.0 to 40 RPM 	1	C2R           	282	37.84 RPM     	
11-24-2024    	17:42:17	4.0 to 40 RPM 	4	C2W           	229	31.48 RPM     	
11-24-2024    	17:42:23	4.0 to 40 RPM 	2	C2B           	235	32.20 RPM     	
11-24-2024    	17:42:23	4.0 to 40 RPM 	3	C2G           	235	32.20 RPM     	
11-24-2024    	17:44:10	4.0 to 40 RPM 	1	C2R           	341	40.00 RPM     	
11-24-2024    	17:54:02	4.0 to 40 RPM 	3	C2G           	225	31.00 RPM     	
11-24-2024    	17:54:04	4.0 to 40 RPM 	4	C2W           	227	31.24 RPM     	
11-24-2024    	17:55:05	4.0 to 40 RPM 	1	C2R           	288	38.56 RPM     	
11-24-2024    	17:55:12	4.0 to 40 RPM 	2	C2B           	294	39.28 RPM     	
